Localidad,MC,MCL,R_OJO,RAYA,PGLOBO,R_CUERPO,R_AMARILLO,M_UROP,ANCHOA,R_ROJAS,AGUJA,griseus,cafe,CROJA
Dzilam,1,1,1,1,1,1,1,1,1,1,0,0,1,1
Cuyo,0,0,0,0,0,0,0,0,1,0,1,1,0,0
