Sitio,Trans,Hora,DistCostaMetros,MC,MCL,R_OJO,RAYA,PGLOBO,R_CUERPO,R_AMARILLO,M_UROP,ANCHOA,R_ROJAS,AGUJA,T.griseus,CAFE,CROJA,Vacio
El Cuyo,T4,Manana,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
El Cuyo,T4,Manana,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
El Cuyo,T4,Manana,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
El Cuyo,T4,Manana,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
El Cuyo,T4,Manana,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
El Cuyo,T4,Manana,16,0,0,0,0,0,0,0,0,3,0,2,0,0,0,1
El Cuyo,T4,Manana,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
El Cuyo,T4,Tarde,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
El Cuyo,T4,Tarde,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
El Cuyo,T4,Tarde,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
El Cuyo,T4,Tarde,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
El Cuyo,T4,Tarde,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
El Cuyo,T4,Tarde,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
El Cuyo,T4,Tarde,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
El Cuyo,T4,Tarde,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
El Cuyo,T4,Tarde,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
El Cuyo,T4,Tarde,20,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
