MC,MCL,R_OJO,RAYA,PGLOBO,R_CUERPO,R_AMARILLO,M_UROP,ANCHOA,R_ROJAS,AGUJA,T.griseus,CAFÉ,CROJA,Localidad
1,1,1,1,1,1,1,1,1,1,0,0,1,1,Dzilam
0,0,0,0,0,0,0,0,1,0,1,1,0,0,El_Cuyo
